TC,TC_Description,TC_Main_Category,TC_Sub_Category
ABZU,Write-up,FI,Basic Functions
ABZV,Asset Acquis. Posted w/Clearing Acct,FI,Basic Functions
AC00,Service Master,MM,External Services
AC01,Service Master,MM,External Services
AC02,Service Master,MM,External Services
AC03,Service Master,MM,External Services
AC04,Service Master,MM,External Services
AC05,List Processing: Service Master,MM,External Services
AC06,List Display: Service Master,MM,External Services
AC08,Send service,MM,External Services
AC10,Class Hierarchy with Services,MM,External Services
ACACAD,ACE Account Assignment,FI,Manual Accruals
ACBD,Display Shared Buffer: ATP Check,SD,Availability Check
ACCR,Personal Menu Volker Hofmann,FI,Financial Accounting
ACCR01,Create Accrual/Deferral Document,FI,Financial Accounting
ACCR02,Change Accrual/Deferral Document,FI,Financial Accounting
ACCR03,Display Accrual/Deferral Document,FI,Financial Accounting
ACCR04,Execute Accruals/Deferrals,FI,Financial Accounting
ACCR05,Display Accruals/Deferrals Log,FI,Financial Accounting
ACCR06,Delete Accruals/Deferrals Log,FI,Financial Accounting
ACCR07,Reverse Accruals/Deferrals,FI,Financial Accounting
ACEC,Accrual Engine - IMG,FI,Accrual Engine
ACEPP,Accrual Engine - Periodic Postings,FI,Accrual Engine
ACEREV,Reverse Postings,FI,Accrual Engine
ACNR,No. Range Maintenance: Ext. Service,MM,External Services
ACSET,Maint.Acct Types for Acct Asgmt Obj.,FI,Asset Accounting
ACTL,INTERNAL: Work List,CO,Overhead Cost Controlling
AD08,Enter G/L Account Posting,Not_Found,Not_Found
AD20,Search help maintenance (for IMG),Basis,Activation Program; Conversion Program; DB Utility; MC; SPDD
AD21,Matchcode maintenance (for IMG),Basis,Activation Program; Conversion Program; DB Utility; MC; SPDD
AFAB,Post depreciation,FI,Basic Functions
AFABN,Post Depreciation,FI,Asset Accounting
AFAF,Assets with errors,FI,Basic Functions
AFAMA,View Maint. for Deprec. Key Method,FI,Basic Functions
AFAMD,View Maint. Declining-Bal. Method,FI,Basic Functions
AFAMH,Maintain Maximum Amount Method,FI,Basic Functions
AFAMP,View Maint. Period Control Method,FI,Basic Functions
AFAMR,View Maintenance Base Method,FI,Basic Functions
AFAMS,View Maint. Multi-Level Method,FI,Basic Functions
AFAMSK,Method: Levels in Calendar Years,FI,Basic Functions
AFAM_093B,View Default Values for Valuation,FI,Basic Functions
AFAR,Recalculate Depreciation,FI,Basic Functions
AFBN,Include New Depreciation Area,FI,Basic Functions
AFBP,Create depreciation posting log,FI,Basic Functions
AFWA,Create Maintain Analysis Structures,Financials,Analyzer
AFWFL,AFWCH: Filter Maintenance,Financials,Analyzer
AFWO1,Single Records Procedure: Monitoring,Financials,Analyzer
AFWO2,Final Results Procedure: Monitoring,Financials,Analyzer
AFWS,Maintain Segment Level Characterist.,Financials,Analyzer
AFX_WB,Archiving Workbench,Cross Application,Generating; Monitoring for Mass Data Archiving Solutions
AIAB,AuC Assignment of Dist. Rule,FI,Line Item Settlement of AUC
AIAO,C AM Maint. list vers. gen. line itm,FI,Line Item Settlement of AUC
AIAZ,Display Dist. Rule Allocation,FI,Line Item Settlement of AUC
AIBU,Transfer Asset under Const.,FI,Line Item Settlement of AUC
AIIO,C AM Maintain List Version AuC,FI,Line Item Settlement of AUC
AISF,FX Exposure,Financials,Information System
AISFSS,Single Value Analysis: FX Exposure,Financials,Information System
AISS,Single Val. Analysis - Sensitivities,Financials,Information System
AIST,Reverse Settlement of AuC,FI,Line Item Settlement of AUC
AJAB,Year-End Closing,FI,Basic Functions
AJRW,Fiscal Year Change,FI,Basic Functions
AKAB,List purchasing arrangements,Logistics,Promotion
AKE1,Create Condition,Enterprice Controlling,Profit Center Accounting
AKE10,Transfer Prices: Display Overhead,Enterprice Controlling,Profit Center Accounting
AKE2,Change Condition,Enterprice Controlling,Profit Center Accounting
AKE3,Display Condition,Enterprice Controlling,Profit Center Accounting
AKE4,Copy Condition,Enterprice Controlling,Profit Center Accounting
AKE5,PCA Transfer Prices: Create Prices,Enterprice Controlling,Profit Center Accounting
AKE6,PCA Transfer Prices: Change Prices,Enterprice Controlling,Profit Center Accounting
AKE7,PCA Transfer Prices: Display Prices,Enterprice Controlling,Profit Center Accounting
AKE8,Transfer Prices: Create Overhead,Enterprice Controlling,Profit Center Accounting
AKE9,Transfer Prices: Change Overhead,Enterprice Controlling,Profit Center Accounting
AKKO,Promotion pur. pr. conditions,Logistics,Promotion
AKVA,List sales arrangements,Logistics,Promotion
AKVK,Promotion sales price conditions,Logistics,Promotion
AL08,Users Logged On,Basis,IMS:  Agents and related topics
AL11,Display SAP Directories,Basis,Operating System Monitors
AL12,Display Table Buffer (Exp. Session),Basis,Performance Monitors (TCC)
AL13,Display Shared Memory (Expert Mode),Basis,Performance Monitors (TCC)
AL15,Customize SAPOSCOL destination,Basis,Operating System Monitors
ALM_01,ALM: Assign CF Type to CF Indicator,IS,Asset/Liability Management
ALO1,Determine ASH/DOREX Relationships,SD,Basic Functions
AM04,Changes to Asset Classes,FI,Basic Functions
AM05,Lock Asset Class,FI,Basic Functions
AMRP,Send Stock/Requirements List,PP,Sales Plan
ANHAL,Maintain Cutoff Value Key,FI,Basic Functions
ANK0,Ch.-of-Depr.-Dep. Asset Class Data,FI,Basic Functions
ANK1,Ch.-of-Depr.-Dep. Control Specif.,FI,Basic Functions
ANK2,Ch.-of-Depr.-Dep. Allocations,FI,Basic Functions
ANK3,Ch.-of-Depr.-Dep. Net Worth Valuat.,FI,Basic Functions
ANK4,Ch.-of-Depr.-Dep. Insurance Data,FI,Basic Functions
ANKA,Directory of asset classes,FI,Basic Functions
ANKL,Generate Asset Classes,FI,Basic Functions
ANVEST,Maintain Investment Support Measures,FI,Basic Functions
AO21,Screen layout for deprec. areas,FI,Basic Functions
AO33,Net worth tax field selection,FI,Basic Functions
AO42,Insurance field selection,FI,Basic Functions
AO51,Leasing field selection,FI,Basic Functions
AO67,Define Transaction Type,FI,Basic Functions
AO68,Define Transaction Type,FI,Basic Functions
AO73,Define Transaction Type,FI,Basic Functions
AO74,Define Transaction Type,FI,Basic Functions
AO75,Define Transaction Type,FI,Basic Functions
AO76,Define Transaction Type,FI,Basic Functions
AO77,Define Transaction Type,FI,Basic Functions
AO78,Define Transaction Type,FI,Basic Functions
AO79,Define Transaction Type,FI,Basic Functions
AO80,Define Transaction Type,FI,Basic Functions
AO81,Define Transaction Type,FI,Basic Functions
AO82,Define Transaction Type,FI,Basic Functions
AO83,Define Transaction Type,FI,Basic Functions
AO88,Acct.Assignmt for Investment Support,FI,Basic Functions
AO91,Specify field group authorization,FI,Basic Functions
AO92,Logical field groups,FI,Basic Functions
AOBK,Depreciation areas/Reduction rules,FI,Basic Functions
AOLA,Master Data Tab,FI,Basic Functions
AR01,Call Asset List,FI,Information System
AR02,Call Up Asset History Sheet,FI,Information System
AR03,Call Up Depreciation List,FI,Information System
AR04,Call Up Depreciation + Interest List,FI,Information System
AR05,Call Up Asset Acquisition List,FI,Information System
AR06,Call Up Asset Retirement List,FI,Information System
AR07,Call Up Asset Transfer List,FI,Information System
AR08,Call Up Depreciation Compare List,FI,Information System
AR09,Call Up Property List,FI,Basic Functions
AR10,Call Up Insurance List,FI,Basic Functions
AR11,Investment Grants,FI,Basic Functions
AR11N,Investment Grants,FI,Asset Accounting
AR12,Call Up Asset Directory,FI,Basic Functions
AR13,Call Up Prim. Cost Plan. Dep./Int.,FI,Basic Functions
AR14,Call Up Manual Depreciation List,FI,Information System
AR15,Changes to Master Record,FI,Basic Functions
AR16,Changes to Asset Classes,FI,Basic Functions
AR17,Call Up Leasing Liability List,FI,Basic Functions
AR18,Call Up Depr.Simulation,FI,Information System
AR19,Call Up List of Origins,FI,Information System
AR20,Retirement comparison,FI,Information System
AR21,Mid-quarter Alert Report,FI,Information System
AR22,Analysis of retirment revenue,FI,Information System
AR23,Italy: Asset register,FI,Basic Functions
AR24,Italy: Assets at 3rd party,FI,Basic Functions
AR25,Depreciation posted,FI,Basic Functions
AR26,Call up special reserve list,FI,Information System
AR27,Call up: Group asset list,FI,Information System
AR28,Call up asset history,FI,Information System
AR29,Re- and New Valuation of Assets,FI,Basic Functions
AR29N,Re- and New Valuation of Assets,FI,Asset Accounting
AR30,Display Worklist,FI,Information System
AR31,Edit Worklist,FI,Basic Functions
AR32,Call Create Worklist,FI,Information System
AR32N,Call Create Worklist,FI,Information System
ARKO,KOBRA: Archiving,SD,Basic Functions
ARQ0,FIAA - Ad hoc reports,FI,Information System
ART0,FIAA - Information System,FI,Information System
ARTE,Replace Articles in Layout Modules,Logistics,Assortment Maintenance
AS01,Create Asset Master Record,FI,Basic Functions
AS02,Change Asset Master Record,FI,Basic Functions
AS03,Display Asset Master Record,FI,Basic Functions
AS04,Asset Changes,FI,Basic Functions
AS05,Block Asset Master Record,FI,Basic Functions
AS06,Delete Asset Record/Mark for Delet.,FI,Basic Functions
AS08,Number Ranges:Asset Number,FI,Basic Functions
AS100,Legacy Data Transfer using Excel,FI,Asset Accounting
AS11,Create Asset Subnumber,FI,Basic Functions
AS21,Create Group Asset,FI,Basic Functions
AS22,Change Group Asset,FI,Basic Functions
AS23,Display Group Asset,FI,Basic Functions
AS24,Create Group Asset Subnumber,FI,Basic Functions
AS25,Block group asset,FI,Basic Functions
AS26,Mark group asset for deletion,FI,Basic Functions
AS81,Create Old Group Assets Data,FI,Basic Functions
AS82,Change old group asset,FI,Basic Functions
AS83,Display old group asset,FI,Basic Functions
AS84,Create legacy group asset subnumber,FI,Basic Functions
AS91,Create Old Asset,FI,Basic Functions
AS92,Change Old Asset,FI,Basic Functions
AS93,Display Old Asset,FI,Basic Functions
AS94,Create Legacy Asset Subnumber,FI,Basic Functions
ASCC,Assets on My Cost Center - GUI Vers.,FI,Basic Functions
ASEM,My assets,FI,Basic Functions
ASIM,Simulation of asset posting,FI,Basic Functions
ASKB,Periodic Asset Postings,FI,Basic Functions
ASKBN,Periodic APC Posting Run,FI,Asset Accounting
ASMN,Asset Master Menu,FI,Basic Functions
AS_AFB,Archive File Browser,Basis,Archive Information System
AT01,Create Asset Master Record (old),FI,Asset Accounting
AT02,Change Asset Master Record (old),FI,Asset Accounting
AT03,Display Asset Master Record (old),FI,Asset Accounting
AT11,Create Asset Subnumber (Old),FI,Asset Accounting
AT21,Create Group Asset (old),FI,Asset Accounting
AT22,Change Group Asset (old),FI,Asset Accounting
AT23,Display Group Asset (old),FI,Asset Accounting
AT24,Create Group Asset Sub-Number (old),FI,Asset Accounting
AT81,Create Old Group Asset (old),FI,Asset Accounting
AT82,Change Old Group Asset (old),FI,Asset Accounting
AT83,Display Old Group Asset (old),FI,Asset Accounting
AT84,Display Old Group Asset Sub-No.(old),FI,Asset Accounting
AT91,Create Old Asset (old),FI,Asset Accounting
AT92,Change Old Asset (old),FI,Asset Accounting
AT93,Display Old Asset (old),FI,Asset Accounting
AT94,Create Old Asset Sub-Number (old),FI,Asset Accounting
ATPS,ATP Check: Send Customizing,SD,Availability Check
ATRA,ABAP Objects Runtime Analysis,Basis,Runtime Analysis
AUFW,Maintain Revaluation Measures,FI,Basic Functions
